Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SuitePozicky,Chrome 123.0.0.0,,,17-04-2024 15:21:58,17-04-2024 15:34:16,"12m - 18,449s",PASSED
,,,,,,,
Test Cases/Pozicky B/Pozicka_399090,Chrome 123.0.0.0,"Služba 7.3.4 Žiadosť o pôžičku pre pedagógov s ručiteľom, s autorizáciou AD účtom a podpisom KEP",,17-04-2024 15:21:58,17-04-2024 15:28:05,"6m - 6,590s",PASSED
log = new com.kms.katalon.core.logging.KeywordLogger(),Chrome 123.0.0.0,,,17-04-2024 15:21:59,17-04-2024 15:21:59,"0,020s",PASSED
mail = new Email(),Chrome 123.0.0.0,,,17-04-2024 15:21:59,17-04-2024 15:21:59,"0,015s",PASSED
podpis = new Podpisovac(),Chrome 123.0.0.0,,,17-04-2024 15:21:59,17-04-2024 15:21:59,"0,013s",PASSED
form = new Formular(),Chrome 123.0.0.0,,,17-04-2024 15:21:59,17-04-2024 15:21:59,"0,028s",PASSED
"openBrowser("""")",Chrome 123.0.0.0,,,17-04-2024 15:21:59,17-04-2024 15:22:05,"5,076s",PASSED
"navigateToUrl(""https://es-test.minedu.sk/"")",Chrome 123.0.0.0,,,17-04-2024 15:22:05,17-04-2024 15:22:05,"0,476s",PASSED
"if (form.prihlasUzivatela(""930471954"", ""zTTfKFASM+jMVRoiJaGOIA==""))",Chrome 123.0.0.0,,,17-04-2024 15:22:05,17-04-2024 15:22:24,"18,488s",PASSED
"click(findTestObject(""Object Repository/Page_Portl elektronickch sluieb regionlneho_9bdbd3/a_Pedagogick a odborn zamestnanec""))",Chrome 123.0.0.0,,,17-04-2024 15:22:24,17-04-2024 15:22:24,"0,875s",PASSED
"click(findTestObject(""Object Repository/Page_Elektronick sluby pre pedagogickch a o_83fa6f/a_Podvanie iadosti o piku pre pedaggov z Fo_d7a76f""))",Chrome 123.0.0.0,,,17-04-2024 15:22:24,17-04-2024 15:22:25,"0,694s",PASSED
"click(findTestObject(""Object Repository/Page_Podvanie iadosti o piku pre pedaggov z_981991/a_Prejs na podvanie iadosti o piku pre peda_d8ef74""))",Chrome 123.0.0.0,,,17-04-2024 15:22:25,17-04-2024 15:22:47,"21,786s",PASSED
"waitForElementPresent(findTestObject(""Page_Formulr Podvanie iadosti o piku pre pe_fbb4f4/span_ESRVS-2024-2188""), 30, STOP_ON_FAILURE)",Chrome 123.0.0.0,,,17-04-2024 15:22:47,17-04-2024 15:23:00,"13,077s",PASSED
"identifikator = getText(findTestObject(""Object Repository/Page_Formulr Podvanie iadosti o piku pre pe_fbb4f4/span_ESRVS-2024-2188""))",Chrome 123.0.0.0,,,17-04-2024 15:23:00,17-04-2024 15:23:04,"3,899s",PASSED
"verifyElementText(findTestObject(""Page_Formulr Podvanie iadosti o piku pre pe_fbb4f4/span_ESRVS-2024-2188""), identifikator)",Chrome 123.0.0.0,,,17-04-2024 15:23:04,17-04-2024 15:23:04,"0,356s",PASSED
"setText(findTestObject(""Object Repository/Page_Formulr Podvanie iadosti o piku pre pe_fbb4f4/input_Zadajte najvy zskan titul (v prpade v_aad6cd""), ""Ing."")",Chrome 123.0.0.0,,,17-04-2024 15:23:04,17-04-2024 15:23:05,"0,739s",PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Formulr Podvanie iadosti o piku pre pe_fbb4f4/span_Marek""), ""Marek"")",Chrome 123.0.0.0,,,17-04-2024 15:23:05,17-04-2024 15:23:05,"0,435s",PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Formulr Podvanie iadosti o piku pre pe_fbb4f4/span_Tirpk""), ""Tirpák"")",Chrome 123.0.0.0,,,17-04-2024 15:23:05,17-04-2024 15:23:06,"0,328s",PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Formulr Podvanie iadosti o piku pre pe_fbb4f4/span_8001010017""), ""8001010017"")",Chrome 123.0.0.0,,,17-04-2024 15:23:06,17-04-2024 15:23:06,"0,327s",PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Formulr Podvanie iadosti o piku pre pe_fbb4f4/span_01.01.1980""), ""01.01.1980"")",Chrome 123.0.0.0,,,17-04-2024 15:23:06,17-04-2024 15:23:06,"0,337s",PASSED
"click(findTestObject(""Object Repository/Page_Formulr Podvanie iadosti o piku pre pe_fbb4f4/label_In""))",Chrome 123.0.0.0,,,17-04-2024 15:23:06,17-04-2024 15:23:07,"0,391s",PASSED
"setText(findTestObject(""Object Repository/Page_Formulr Podvanie iadosti o piku pre pe_fbb4f4/input_Zadajte PS trvalho pobytu_UI_V_ZP_in__f1f09d""), ""07865"")",Chrome 123.0.0.0,,,17-04-2024 15:23:07,17-04-2024 15:23:08,"0,739s",PASSED
"click(findTestObject(""Object Repository/Page_Formulr Podvanie iadosti o piku pre pe_fbb4f4/label_Nie""))",Chrome 123.0.0.0,,,17-04-2024 15:23:08,17-04-2024 15:23:08,"0,385s",PASSED
"setText(findTestObject(""Object Repository/Page_Formulr Podvanie iadosti o piku pre pe_fbb4f4/input_Zadajte obec alebo mesto, kam bude v _9b039a""), ""Košice-Juh"")",Chrome 123.0.0.0,,,17-04-2024 15:23:08,17-04-2024 15:23:09,"0,698s",PASSED
"click(findTestObject(""Object Repository/Page_Formulr Podvanie iadosti o piku pre pedaggov z Fondu na podporu vzdelvania  Elektronick sluby portlu regionlneho a vysokho kolstva/div_Koice-Juh (Koice IV)""))",Chrome 123.0.0.0,,,17-04-2024 15:23:09,17-04-2024 15:23:09,"0,423s",PASSED
"setText(findTestObject(""Object Repository/Page_Formulr Podvanie iadosti o piku pre pe_fbb4f4/input_Zadajte ulicu, kam bude v prpade potr_a6c0b2""), ""Vymyslená"")",Chrome 123.0.0.0,,,17-04-2024 15:23:09,17-04-2024 15:23:10,"0,813s",PASSED
"setText(findTestObject(""Object Repository/Page_Formulr Podvanie iadosti o piku pre pe_fbb4f4/input_Zadajte spisn slo, kam bude v prpade _a00d5c""), ""98"")",Chrome 123.0.0.0,,,17-04-2024 15:23:10,17-04-2024 15:23:11,"0,802s",PASSED
"setText(findTestObject(""Object Repository/Page_Formulr Podvanie iadosti o piku pre pe_fbb4f4/input_Zadajte orientan slo, kam bude v prpa_557c52""), ""55"")",Chrome 123.0.0.0,,,17-04-2024 15:23:11,17-04-2024 15:23:11,"0,712s",PASSED
"setText(findTestObject(""Object Repository/Page_Formulr Podvanie iadosti o piku pre pe_fbb4f4/input_Zadajte PS, kam bude v prpade potreby_22cb62""), ""01265"")",Chrome 123.0.0.0,,,17-04-2024 15:23:11,17-04-2024 15:23:12,"0,675s",PASSED
"click(findTestObject(""Object Repository/Page_Formulr Podvanie iadosti o piku pre pe_fbb4f4/input_Zadajte kontaktn e-mailov adresu_UI_V_aee6cc""))",Chrome 123.0.0.0,,,17-04-2024 15:23:12,17-04-2024 15:23:12,"0,388s",PASSED
"setText(findTestObject(""Object Repository/Page_Formulr Podvanie iadosti o piku pre pe_fbb4f4/input_Zadajte kontaktn e-mailov adresu_UI_V_aee6cc""), email)",Chrome 123.0.0.0,,,17-04-2024 15:23:12,17-04-2024 15:23:13,"0,848s",PASSED
"setText(findTestObject(""Object Repository/Page_Formulr Podvanie iadosti o piku pre pe_fbb4f4/input_Zadajte telefnne slo vrtane medzinrod_dbbd6c""), ""+421456321789"")",Chrome 123.0.0.0,,,17-04-2024 15:23:13,17-04-2024 15:23:14,"0,826s",PASSED
"click(findTestObject(""Object Repository/Page_Formulr Podvanie iadosti o piku pre pe_fbb4f4/input_Vyberte minimlne jednu, alebo viac mo_04f0d9""))",Chrome 123.0.0.0,,,17-04-2024 15:23:14,17-04-2024 15:23:15,"0,503s",PASSED
"click(findTestObject(""Object Repository/Page_Formulr Podvanie iadosti o piku pre pe_fbb4f4/input_doktorand v dennej forme tdia_UI_V_ZP_9333fb""))",Chrome 123.0.0.0,,,17-04-2024 15:23:15,17-04-2024 15:23:15,"0,464s",PASSED
"if (verifyElementClickable(findTestObject(""Object Repository/Page_Formulr Podvanie iadosti o piku pre pe_fbb4f4/button_Pokraova"")))",Chrome 123.0.0.0,,,17-04-2024 15:23:15,17-04-2024 15:23:15,"0,447s",PASSED
"click(findTestObject(""Object Repository/Page_Formulr Podvanie iadosti o piku pre pe_fbb4f4/button_Pokraova""))",Chrome 123.0.0.0,,,17-04-2024 15:23:15,17-04-2024 15:23:16,"0,361s",PASSED
"setText(findTestObject(""Object Repository/Page_Formulr Podvanie iadosti o piku pre pe_fbb4f4/input_Poadovan vka piky (zaokrhlene na stov_c8e10c""), ""15000"")",Chrome 123.0.0.0,,,17-04-2024 15:23:16,17-04-2024 15:23:17,"0,866s",PASSED
"setText(findTestObject(""Object Repository/Page_Formulr Podvanie iadosti o piku pre pe_fbb4f4/input_Zadajte poadovan splatnos piky na cel_03b518""), ""15"")",Chrome 123.0.0.0,,,17-04-2024 15:23:17,17-04-2024 15:23:17,"0,658s",PASSED
